name,image,brightness,warmth,saturation,contrast,clarity,softness,face_ratio,eye_ratio,nose_ratio,mouth_ratio,tags
아이유,/assets/celebrities/iu.jpg,0.68,0.59,0.42,0.28,0.34,0.78,0.57,0.53,0.52,0.61,부드러운 색감|밝은 무드|차분한 인상
수지,/assets/celebrities/suzy.jpg,0.73,0.55,0.38,0.34,0.39,0.75,0.59,0.55,0.54,0.62,깨끗한 톤|선명한 분위기|내추럴한 무드
제니,/assets/celebrities/jennie.jpg,0.48,0.46,0.52,0.62,0.63,0.58,0.47,0.66,0.61,0.58,시크한 대비|강한 포인트|쿨한 무드
지수,/assets/celebrities/jisoo.jpg,0.62,0.52,0.45,0.44,0.48,0.70,0.56,0.62,0.58,0.62,정돈된 톤|클래식한 분위기|밸런스형
차은우,/assets/celebrities/cha-eunwoo.jpg,0.70,0.50,0.44,0.40,0.47,0.72,0.61,0.63,0.59,0.64,선명한 윤곽감|맑은 톤|깔끔한 무드
뷔,/assets/celebrities/v.jpg,0.44,0.43,0.58,0.66,0.68,0.54,0.48,0.66,0.65,0.61,깊은 대비|드라마틱한 톤|강한 분위기
한소희,/assets/celebrities/han-sohee.jpg,0.52,0.47,0.55,0.54,0.59,0.62,0.54,0.64,0.58,0.64,차가운 색감|도회적인 무드|또렷한 대비
박서준,/assets/celebrities/park-seojoon.jpg,0.58,0.50,0.50,0.46,0.52,0.67,0.51,0.62,0.57,0.66,따뜻한 톤|담백한 분위기|균형감
송혜교,/assets/celebrities/song-hyekyo.jpg,0.66,0.54,0.36,0.31,0.37,0.79,0.57,0.57,0.55,0.60,우아한 톤|부드러운 분위기|클래식
전지현,/assets/celebrities/jun-jihyun.jpg,0.61,0.51,0.43,0.39,0.44,0.73,0.55,0.62,0.58,0.60,세련된 무드|자연스러운 톤|균형감
김태희,/assets/celebrities/kim-taehee.jpg,0.69,0.56,0.40,0.36,0.42,0.76,0.60,0.55,0.57,0.63,화사한 톤|단정한 분위기|밝은 무드
손예진,/assets/celebrities/son-yejin.jpg,0.64,0.57,0.39,0.33,0.40,0.77,0.60,0.56,0.58,0.63,따뜻한 미소|맑은 톤|부드러운 인상
고윤정,/assets/celebrities/go-younjung.jpg,0.57,0.49,0.50,0.50,0.56,0.64,0.55,0.64,0.57,0.62,또렷한 분위기|차분한 톤|도회적
김고은,/assets/celebrities/kim-goeun.jpg,0.63,0.53,0.35,0.29,0.35,0.80,0.63,0.56,0.54,0.65,내추럴 무드|담백한 톤|부드러움
김지원,/assets/celebrities/kim-jiwon.jpg,0.67,0.54,0.41,0.38,0.45,0.74,0.55,0.62,0.56,0.67,단정한 색감|화사한 무드|깔끔함
박보영,/assets/celebrities/park-boyoung.jpg,0.74,0.58,0.36,0.26,0.32,0.82,0.61,0.52,0.54,0.70,밝은 톤|러블리 무드|부드러움
김유정,/assets/celebrities/kim-yoojung.jpg,0.72,0.57,0.40,0.32,0.39,0.78,0.60,0.56,0.57,0.61,생기 있는 색감|맑은 분위기|따뜻함
김소현,/assets/celebrities/kim-sohyun.jpg,0.65,0.51,0.43,0.37,0.43,0.74,0.58,0.59,0.59,0.60,청량한 톤|차분한 무드|균형감
문가영,/assets/celebrities/moon-gayoung.jpg,0.56,0.48,0.54,0.51,0.57,0.63,0.54,0.66,0.57,0.60,도회적 색감|시크한 분위기|또렷함
신세경,/assets/celebrities/shin-sekyung.jpg,0.60,0.52,0.46,0.41,0.48,0.70,0.58,0.63,0.56,0.62,차분한 톤|선명한 분위기|우아함
장원영,/assets/celebrities/jang-wonyoung.jpg,0.76,0.56,0.45,0.37,0.45,0.76,0.66,0.57,0.56,0.66,화사한 색감|아이돌 무드|밝은 에너지
