name,gender,image,tags,face_pca_00,face_pca_01,face_pca_02,face_pca_03,face_pca_04,face_pca_05,face_pca_06,face_pca_07,face_pca_08,face_pca_09,face_pca_10,face_pca_11,face_pca_12,face_pca_13,face_pca_14,face_pca_15,face_pca_16,face_pca_17,face_pca_18,face_pca_19,face_pca_20,face_pca_21,face_pca_22,face_pca_23,face_pca_24,face_pca_25,face_pca_26,face_pca_27,face_pca_28,face_pca_29,face_pca_30,face_pca_31
나연,all,/assets/celebrities_raw/나연/nayeon-1.jpg,학습 데이터,-0.6022157,-0.073092595,1.8908472,0.4634652,0.5915652,-0.15466104,-1.5149796,0.64404666,-0.9117058,0.1729562,-1.3321596,0.19643421,0.5625382,-0.5373674,0.43517047,-0.62665594,0.41225997,-0.538275,0.1943411,-0.77894795,0.111065246,-0.08199419,0.2908467,-0.10074167,-0.059695505,0.3460614,0.20584397,-0.035780445,-0.29831138,0.18440625,-0.16670766,-0.20086765
사나,all,/assets/celebrities_raw/사나/sana-1.jpg,학습 데이터,-2.2671032,0.36409932,-2.7953057,1.7152112,-1.0536989,-0.48910207,0.14293279,-0.27838343,0.80849504,-0.6682967,-0.05726394,0.111413226,-0.57553685,-0.062016916,0.029500503,0.20174484,0.11785541,-0.40131158,-0.6167549,0.06181978,0.09321354,0.4424049,-0.12992613,0.43318683,0.19254993,0.6215372,-0.079579905,-0.54404557,0.17812653,-0.5896374,-0.2933033,0.32281107
서현,all,/assets/celebrities_raw/서현/seohyun-1.jpg,학습 데이터,-1.1266675,1.8732933,-3.003001,0.54530746,0.72396815,-0.38677374,0.19257633,0.55824226,-0.8701521,-1.0061126,0.020781253,-0.22977355,-0.17422573,-0.047764868,-0.35857958,-0.04251692,-0.22965908,-0.093937494,0.0004639268,0.10778928,-0.124845505,-0.027892184,0.33491212,-0.045352757,0.2388871,0.25894994,-0.12592742,-0.015930068,0.27198267,0.17360961,0.55777514,0.2277468
수지,female,/assets/celebrities_raw/수지/1.jpg,학습 데이터,2.3701818,8.623594,9.762245,0.6027323,-5.1113358,-0.013203413,1.1575484,-0.92009753,-1.2113066,-1.7431107,-0.53886336,0.59885746,0.89714605,-2.0311942,0.510934,-0.6840134,-1.1390059,0.047194403,0.9672163,0.66954905,0.11590999,1.7616258,-1.6906201,-1.1847438,0.44281074,1.1814541,-1.9428288,-0.4190012,1.2672981,-1.3515204,0.4003668,-0.4899518
아이유,female,/assets/celebrities_raw/아이유/1.jpg,학습 데이터,-7.343674,-1.7771782,5.9779572,0.83652437,-1.7682451,0.4423906,1.7524893,-0.9193334,0.6378975,1.1122899,1.8235714,-3.2504592,1.3693149,-0.06655223,1.1766602,-1.8573554,0.08402666,-1.8355742,-0.85545367,-1.0887232,1.7255384,-1.6453735,0.27307343,0.123727754,-0.20589355,-0.8420863,-0.94612205,0.1164564,-0.0658729,-0.57187283,0.20152149,-0.26218408
안유진,female,/assets/celebrities_raw/안유진/anyujin-1.jpg,학습 데이터,-1.6701235,-0.15943779,-0.68786937,-0.09424819,0.798056,1.5649897,0.9508972,-0.5306671,0.7246913,0.45146364,-0.3754714,0.21024346,0.018607844,-0.27648252,-1.1201929,0.98685324,0.25940806,0.4774168,-0.1849764,0.25418183,-0.23643307,-0.06882417,-0.07014461,-0.45408648,-0.9252461,0.07970684,-0.0530053,0.13100696,0.0525409,-0.24302916,-0.11176948,-0.05478034
윈터,female,/assets/celebrities_raw/윈터/winter-1.jpg,학습 데이터,-1.2323425,-0.37434843,-2.3947916,-1.3744673,-2.9407597,0.64346606,0.37309256,0.8755186,1.9078385,0.16528615,-0.34618476,-0.11481024,0.2172395,-0.27627403,0.21137711,-0.18097143,0.25987083,-0.0849564,-0.242152,-0.114650324,0.061601866,0.08384141,0.043418482,-0.13068572,-0.10723802,-0.80280125,-0.272674,-0.3460217,-0.20516217,0.22934732,0.64332074,0.05148808
유나,all,/assets/celebrities_raw/유나/yoona-1.jpg,학습 데이터,0.34150803,-2.9294357,3.1784942,1.7514715,1.7400868,-0.65779763,0.70921123,0.20850202,0.44967848,0.2914447,0.689746,-0.18512265,0.63856435,0.11956743,0.3812402,-0.486412,-0.30499786,0.017237632,0.25409114,0.23687334,0.24591036,0.042258065,-0.13503496,0.076849416,0.41178688,-0.19574222,0.44084114,-0.06050233,-0.14026943,0.08356549,0.05515306,0.4458135
유아인,male,/assets/celebrities_raw/유아인/유아인1.png,학습 데이터,7.6836047,-0.48246458,-1.3674316,-0.19593883,1.078697,-1.866816,-1.2823005,-1.5515369,-0.75138706,-0.922553,0.2636287,0.00083586574,-1.2807653,-0.080024384,0.7035685,-0.63027805,-0.8361033,-0.18509941,-0.12627974,0.38542652,-0.024753138,0.3370545,-0.5602718,-0.038794402,-0.56935257,0.019397724,-0.53849494,-0.108288124,0.23792213,0.16083565,0.25725752,-0.24812362
이정재,male,/assets/celebrities_raw/이정재/이정재1.png,학습 데이터,0.6004038,-0.5164936,0.7757794,-4.6887937,0.0034035514,-1.6800817,-0.9935984,-0.1387644,-1.6951113,1.6114057,0.5297604,0.57299304,-0.86609495,1.0180957,-0.393939,-0.51309544,-0.16258894,0.89168084,1.1463872,0.17287864,0.12620652,-0.15289441,-0.009295533,-0.39084005,0.059975848,-0.034938402,0.5335829,-0.42435214,-0.53957397,-0.11477809,-0.35082284,-0.8837128
장원영,all,/assets/celebrities_raw/장원영/jangwonyoung-1.jpg,학습 데이터,1.4878585,-1.7860724,4.444995,0.48739773,-0.053196657,0.9381876,1.4268721,1.4448187,0.29526776,-0.45422927,1.0573999,-0.9194945,0.6990651,0.02573654,-0.14484175,-0.6072782,-0.19896285,0.3335634,-0.1079026,0.08601217,-0.21445577,0.103291154,-0.10780027,0.2197432,0.60497534,-0.18600853,-0.09574919,0.41429177,0.052235253,-0.1396671,-0.46790305,0.44115558
정호연,female,/assets/celebrities_raw/정호연/1.jpg,학습 데이터,3.925204,6.0265703,-2.7294867,-4.8704696,-1.1027375,-2.1463826,5.502445,4.3699765,-4.9951153,0.5189019,1.2013059,3.0424633,-3.542005,-2.23681,2.1488447,0.04245447,0.18727274,0.17062026,-1.8068293,-1.2575507,2.2175975,0.4864689,1.865785,1.4660184,0.2500665,-3.6706724,-0.9972445,0.6263974,1.2458514,-0.9360652,0.6945616,-0.7349245
제니,female,/assets/celebrities_raw/제니/1.jpg,학습 데이터,2.425302,8.631585,-2.132457,-1.378544,-3.477216,-5.4598975,-3.457495,-0.6356524,3.4583402,-1.2950097,3.6917999,-3.0721798,3.9431405,2.6077528,-2.0029137,0.8319741,1.2882318,-0.71388066,-2.2454033,-2.0837886,2.0704198,0.31833878,-0.77338845,0.47076756,-1.095918,0.2877557,-0.35219654,-1.5721374,-1.696327,-0.4890463,0.52602524,0.8829863
차승원,male,/assets/celebrities_raw/차승원/차승원1.jpg,학습 데이터,5.512639,-0.8725516,1.2935816,-0.5453862,-1.3774964,1.363816,-1.2662479,-1.7100832,-0.44796112,-0.9585645,0.52317506,0.032777898,0.08728496,0.40651208,-0.79408795,0.44410634,1.0119611,-0.69539404,0.107433975,0.22608107,0.2537135,-1.133254,0.2611438,0.23339549,0.3136341,-0.17370479,0.055264235,0.32576874,0.04073226,0.09281758,-0.3615628,-0.13470827
카리나,female,/assets/celebrities_raw/카리나/karina-1.jpg,학습 데이터,-4.389708,1.873996,-1.0679468,2.2883375,0.57862824,0.8699912,0.5266599,-1.1086863,0.4861303,0.7240077,-0.18848197,0.24795651,-0.08430396,-0.11759545,0.6735059,1.0060217,-0.31024784,0.22682528,0.13976833,-0.09273497,-0.5744056,0.23297071,0.015587282,-0.23690884,-0.060472984,-0.3068742,-0.066757485,0.34965557,0.15522698,0.072313316,-0.035815038,-0.08637962
태연,all,/assets/celebrities_raw/태연/taeyeon-1.jpg,학습 데이터,-1.9529183,1.7024143,-0.7743755,-0.9361661,0.49330902,-0.20710425,-0.10829757,0.9046048,-0.36199918,0.57702816,-0.8831484,0.3016357,0.2512733,0.111650765,0.2480894,0.39541438,-0.07963437,0.16126116,-0.20457931,-0.21975145,0.028754193,0.051471792,0.008547336,0.3590736,-0.12717234,0.4991824,0.18922411,0.34017608,0.12976599,0.2865365,0.12785971,-0.052608512
